=title,company,job_location,job_state,date,site,job_description,salary,url,applied,saved,search_term,skills,priority,status,category,inserted_at,last_verified,user_id
Senior Software Engineer - AI Trainer,DataAnnotation,"Remote in Buffalo, NY",NY,2025-06-28,Indeed,,N/A,https://www.indeed.com/viewjob?jk=0fc54a9ee7ddcab4,False,False,software engineer,[],0,new,,2025-06-28 21:51:51.354777,,
Senior Software Engineer - AI Trainer,DataAnnotation,"Remote in Memphis, TN",TN,2025-06-28,Indeed,"We are looking for proficient programmers to join our team to train our AI chatbots to code. You will work with the chatbots that we are building in order to measure their progress, as well as write and evaluate code.
To apply to this role, you will need to be proficient in either Python and/or JavaScript. Your role will require proficiency in at least one programming language/framework (JavaScript, TypeScript, Python, C, C#, C++, HTML/CSS, React, Go, Java, Kotlin, SQL, or Swift) in order to solve coding problems (think LeetCode, HackerRank, etc). For each coding problem, you must be able to explain how your solution solves the problem.
As part of the application process, you will be asked to complete an assessment. If you pass, you will gain access to projects. Based on the quality of your work, you will continue to receive projects regularly. We find our most successful candidates work between 5-20 hours per week, up to 40 hours.
Benefits:
This is a full-time or part-time REMOTE position
You’ll be able to choose which projects you want to work on
You can work on your own schedule
Projects are paid hourly, with bonuses on high-quality and high-volume work
Responsibilities:
Come up with diverse problems and solutions for a coding chatbot
Write high-quality answers and code snippets
Evaluate code quality produced by AI models for correctness and performance
Qualifications:
Fluency in English
Proficient in either Python and/or JavaScript
Detail-oriented
Excellent writing and grammar skills
A bachelor's degree (completed or in progress)
Note: Payment is made via PayPal. We will never ask for any money from you.
#INDUSSD
Job Type: Contract
Pay: From $40.00 per hour
Benefits:
Flexible schedule
Work Location: Remote",N/A,https://www.indeed.com/viewjob?jk=b4c26deee55dd465,False,False,software engineer,"['c++', 'css', 'go', 'html', 'java', 'javascript', 'kotlin', 'python', 'react', 'sql', 'swift', 'typescript']",0,new,,2025-06-28 21:51:55.268283,,
Front-End Developer,NextGen | GTA Telecom,Remote,Remote,2025-06-28,Indeed,"We need someone with hands on experience (Senior Level) to do custom applications with Deck.GL web framework.
They will be working on all JavaScript on custom maps for displays on customer-facing websites (mostly all front-end).
A new team that has several developers offshore.
They should be familiar with / entire framework and be more of a full-stack developer who leans front-end (Deck.GL)
Having expeirence with Deck.GL or Web.GL is a must.
Job Type: Contract
Benefits:
Dental insurance
Health insurance
Vision insurance
Application Question(s):
How much experience do you have overall?
How much experience do you have with front-end development?
Do you have experience with Deck.GL or Web.GL?
Current visa status
Desired Salary
Work Location: Remote",N/A,https://www.indeed.com/viewjob?jk=b1f2e3b5739bdb38,False,False,front-end developer,"['java', 'javascript', 'vision']",0,new,,2025-06-28 21:52:03.059044,,
Front-End Developer,NextGen | GTA Telecom,Remote,Remote,2025-06-28,Indeed,"We need someone with hands on experience (Senior Level) to do custom applications with Deck.GL web framework.
They will be working on all JavaScript on custom maps for displays on customer-facing websites (mostly all front-end).
A new team that has several developers offshore.
They should be familiar with / entire framework and be more of a full-stack developer who leans front-end (Deck.GL)
Having expeirence with Deck.GL or Web.GL is a must.
Job Type: Contract
Benefits:
Dental insurance
Health insurance
Vision insurance
Application Question(s):
How much experience do you have overall?
How much experience do you have with front-end development?
Do you have experience with Deck.GL or Web.GL?
Current visa status
Desired Salary
Work Location: Remote",N/A,https://www.indeed.com/viewjob?jk=b1f2e3b5739bdb38,False,False,back-end developer,"['java', 'javascript', 'vision']",0,new,,2025-06-28 21:52:10.331271,,
